Best Fitness, Average Fitness, Worst Fitness
63, 56.17, 42
63, 56.05, 38
63, 55.76, 36
63, 55.74, 35
63, 57.44, 45
63, 56.36, 41
63, 56.78, 35
63, 57.46, 41
63, 56.67, 41
63, 56.78, 28
63, 56.59, 30
63, 57.95, 41
63, 58.67, 44
63, 57.88, 38
63, 57.43, 38
64, 58.56, 40
64, 58.25, 41
63, 57.09, 41
64, 56.93, 40
64, 56.5, 33
64, 56.94, 39
64, 57.1, 42
64, 57.92, 41
64, 57.48, 44
64, 57.21, 45
64, 55.84, 36
64, 55.15, 32
64, 55.27, 39
63, 55.14, 39
64, 56.12, 32
63, 57.35, 42
63, 57.12, 35
64, 57.22, 38
64, 56.76, 38
64, 56.8, 36
64, 57.66, 40
64, 57.74, 44
64, 57.34, 40
64, 57.41, 36
64, 58.36, 40
64, 58.75, 45
64, 59.12, 48
64, 58.24, 43
64, 57.73, 41
64, 57.11, 42
64, 56.3, 35
64, 56.25, 35
63, 56.39, 36
63, 56.83, 35
64, 57.46, 42
64, 57.23, 41
64, 57.81, 41
64, 57.41, 35
64, 57.98, 45
64, 58.06, 40
64, 57.94, 45
64, 58.18, 47
64, 57.12, 45
64, 57.12, 43
64, 56.3, 35
64, 56.45, 37
64, 56.22, 39
64, 56.24, 35
64, 55.97, 40
64, 56.83, 42
63, 55.62, 39
64, 56.63, 42
64, 56.08, 39
64, 56.85, 40
64, 57.04, 44
64, 57.24, 40
64, 56.74, 42
64, 57.05, 44
64, 58.08, 40
64, 57.38, 36
64, 56.99, 40
64, 56.58, 37
64, 57.93, 44
64, 57.37, 42
64, 56.64, 44
64, 57.52, 36
64, 58.55, 45
64, 57.81, 31
64, 56.49, 39
64, 56.75, 42
64, 57.05, 40
64, 58.05, 47
64, 57.96, 41
64, 57.72, 40
64, 57.75, 40
64, 57.93, 44
64, 57.25, 42
64, 57.03, 38
64, 58.03, 43
64, 58.02, 37
64, 58.91, 42
64, 59.24, 44
64, 58.05, 42
64, 58.39, 34
64, 58.41, 45
64, 58.95, 41
64, 58.15, 39
64, 58.52, 39
64, 58.31, 38
64, 58.12, 38
64, 57.89, 38
64, 57.68, 37
64, 57.71, 34
64, 57.76, 32
64, 57.56, 37
64, 57.6, 44
64, 57.11, 36
64, 57.42, 44
64, 56.18, 31
64, 56.16, 36
64, 56.14, 36
64, 55.92, 41
64, 56.83, 36
64, 55.89, 33
64, 56.47, 40
64, 56.26, 34
64, 56.87, 43
64, 56.67, 40
64, 57.1, 41
64, 56.68, 40
64, 56.37, 40
64, 56.21, 40
64, 57.31, 44
64, 57.32, 43
64, 56.9, 41
64, 56.97, 36
64, 57.26, 44
64, 56.59, 42
63, 55.65, 41
63, 56.99, 43
63, 56.61, 40
63, 57.22, 42
63, 57.08, 41
63, 56.69, 42
64, 56.46, 42
64, 57.24, 43
64, 57.18, 39
64, 57.01, 41
63, 56.41, 39
62, 56.71, 32
64, 56.22, 37
