Best Fitness, Average Fitness, Worst Fitness
45, 30.6, 0
45, 34.05, 25
50, 35.97, 25
47, 37.21, 29
48, 39.05, 28
49, 41.15, 32
49, 42.13, 31
51, 43.64, 36
50, 44.12, 34
51, 44.79, 37
50, 44.75, 33
50, 45.11, 36
49, 45.66, 34
50, 46.09, 37
50, 46.17, 37
51, 46.54, 37
51, 46.24, 35
50, 46.35, 40
51, 46.46, 35
51, 46.51, 37
50, 46.65, 39
52, 46.49, 33
53, 46.63, 37
53, 46.61, 38
54, 46.5, 38
56, 47.23, 40
54, 47.55, 38
55, 47.56, 30
53, 48.45, 38
53, 47.81, 31
56, 48.16, 37
57, 48.82, 40
57, 49.06, 39
57, 49.76, 42
57, 49.55, 41
57, 50.12, 41
57, 50.66, 41
57, 51.0, 44
57, 51.89, 47
57, 52.22, 43
57, 51.95, 44
57, 52.08, 43
56, 51.65, 41
57, 51.21, 41
57, 51.03, 42
57, 51.21, 40
57, 50.96, 39
58, 51.11, 42
57, 51.19, 38
57, 51.19, 45
57, 51.16, 44
57, 51.12, 44
59, 50.52, 43
54, 50.53, 43
55, 50.47, 44
55, 49.77, 40
55, 49.83, 41
55, 49.88, 40
55, 50.07, 44
56, 50.05, 42
56, 49.82, 41
56, 49.59, 43
55, 49.43, 40
56, 49.21, 40
57, 49.71, 41
56, 49.32, 41
58, 49.45, 39
56, 49.57, 40
56, 49.42, 40
55, 49.16, 40
56, 49.55, 39
56, 49.51, 41
57, 49.26, 39
55, 49.4, 38
56, 49.58, 39
56, 49.5, 40
56, 49.9, 37
57, 49.71, 36
56, 50.32, 40
57, 50.48, 37
56, 49.18, 41
56, 49.2, 40
57, 49.05, 38
57, 48.26, 37
57, 48.61, 35
57, 49.98, 42
57, 49.69, 39
57, 49.81, 36
57, 50.1, 39
57, 50.71, 45
57, 50.6, 44
56, 50.0, 36
56, 50.54, 36
57, 50.29, 40
56, 50.75, 39
57, 50.33, 41
55, 49.92, 40
57, 49.54, 40
57, 49.2, 36
56, 48.95, 37
56, 49.68, 41
57, 49.91, 39
58, 50.67, 42
56, 50.55, 41
56, 51.29, 38
56, 51.12, 44
57, 51.51, 42
58, 50.56, 39
58, 50.71, 38
57, 50.89, 38
57, 51.22, 42
59, 51.42, 39
59, 51.59, 39
59, 51.67, 40
59, 51.67, 41
60, 52.26, 38
58, 52.45, 39
58, 52.4, 41
59, 52.53, 40
58, 52.58, 40
58, 52.95, 44
58, 51.96, 39
58, 53.17, 45
59, 53.3, 44
60, 53.84, 42
59, 53.31, 42
59, 53.43, 41
60, 52.96, 39
60, 52.84, 42
60, 53.37, 38
60, 52.79, 31
62, 53.43, 37
60, 52.62, 40
60, 52.82, 37
61, 53.37, 41
61, 52.96, 39
60, 53.88, 40
61, 53.46, 39
60, 53.73, 43
61, 53.22, 42
59, 53.63, 41
60, 53.87, 45
60, 54.37, 43
60, 54.22, 42
60, 53.68, 40
60, 54.47, 41
62, 53.8, 39
61, 54.96, 44
62, 54.29, 40
60, 54.55, 39
60, 54.78, 33
60, 54.62, 45
63, 54.98, 46
63, 54.88, 45
61, 54.51, 35
61, 54.83, 38
61, 54.81, 42
61, 54.7, 26
61, 54.88, 40
61, 54.85, 39
61, 55.24, 43
61, 55.36, 43
62, 55.31, 44
62, 56.01, 44
63, 55.9, 43
62, 55.85, 45
62, 55.12, 45
63, 55.62, 36
63, 55.38, 33
63, 56.58, 46
63, 56.99, 42
