Best Fitness, Average Fitness, Worst Fitness
31, 20.7, 0
34, 25.4, 12
35, 26.1, 19
32, 26.3, 19
35, 29.1, 19
36, 32.2, 27
36, 32.6, 28
37, 32.4, 24
36, 32.7, 26
36, 31.2, 26
36, 32.5, 29
36, 32.5, 27
36, 32.3, 26
37, 32.3, 27
36, 29.8, 26
35, 31.3, 26
34, 31.5, 28
36, 32.6, 29
37, 31.0, 22
38, 33.9, 29
38, 36.0, 31
39, 35.4, 22
39, 36.7, 32
39, 37.6, 34
39, 34.9, 22
40, 34.2, 23
40, 37.1, 33
40, 37.6, 32
41, 37.2, 29
41, 39.0, 36
41, 39.7, 35
42, 39.6, 34
42, 39.1, 24
42, 40.4, 37
42, 39.0, 34
42, 39.7, 34
41, 39.8, 38
41, 38.8, 30
41, 40.1, 34
42, 39.3, 36
42, 38.7, 32
41, 39.0, 37
40, 36.8, 31
40, 36.3, 29
40, 38.0, 31
41, 38.6, 32
41, 38.1, 30
41, 37.8, 33
41, 38.2, 31
41, 38.3, 33
41, 38.3, 30
42, 38.3, 31
43, 40.2, 33
41, 39.9, 37
41, 39.7, 37
45, 40.0, 37
45, 41.5, 36
45, 41.7, 36
45, 41.9, 36
46, 40.5, 31
45, 39.7, 30
45, 42.3, 36
47, 39.9, 32
47, 41.9, 39
47, 42.1, 39
48, 41.8, 31
47, 40.1, 31
47, 43.6, 37
48, 42.9, 33
45, 40.9, 36
45, 39.8, 35
43, 38.3, 30
44, 39.2, 36
40, 38.1, 30
40, 37.2, 28
40, 37.9, 32
40, 37.7, 33
40, 36.8, 32
40, 38.4, 37
42, 38.7, 34
42, 37.6, 32
42, 38.0, 31
41, 34.8, 27
42, 35.3, 28
42, 37.9, 28
44, 37.4, 32
42, 37.9, 32
43, 38.1, 27
44, 40.4, 27
44, 41.2, 32
43, 39.7, 34
45, 41.2, 39
45, 41.0, 35
46, 42.1, 37
48, 44.9, 43
48, 45.3, 32
48, 44.7, 36
48, 47.1, 44
48, 46.9, 44
48, 46.4, 38
48, 47.7, 46
50, 46.3, 34
50, 46.9, 42
50, 46.2, 37
51, 47.9, 40
50, 44.3, 35
50, 46.0, 41
50, 42.4, 29
50, 47.5, 39
50, 47.2, 40
50, 47.8, 38
50, 46.8, 40
50, 45.8, 33
50, 47.5, 42
50, 46.9, 36
50, 45.0, 40
50, 45.7, 40
52, 48.9, 44
52, 48.4, 37
52, 50.2, 46
52, 47.4, 40
50, 46.3, 34
50, 43.4, 30
50, 41.1, 31
50, 42.8, 36
50, 41.8, 34
50, 41.9, 33
50, 43.0, 31
50, 42.9, 33
46, 41.9, 33
48, 44.7, 39
48, 41.1, 34
45, 39.0, 22
44, 39.0, 34
46, 39.5, 36
45, 39.1, 31
45, 40.7, 30
45, 43.3, 39
45, 42.5, 36
46, 40.9, 31
46, 44.0, 37
46, 44.0, 40
