Best Fitness, Average Fitness, Worst Fitness
42, 19.309, 0
42, 22.429, 8
41, 25.308, 11
44, 27.362, 13
44, 29.15, 12
44, 30.554, 13
45, 31.881, 13
49, 33.248, 13
48, 34.16, 15
49, 35.229, 17
51, 36.147, 16
51, 37.095, 20
50, 37.819, 20
51, 38.379, 16
50, 39.032, 19
51, 39.094, 20
56, 39.749, 20
55, 40.156, 19
55, 40.379, 14
52, 40.267, 22
54, 40.803, 20
54, 41.147, 20
54, 41.359, 20
55, 41.67, 22
56, 42.156, 19
55, 42.585, 22
55, 42.993, 18
56, 42.907, 21
57, 43.805, 27
56, 44.418, 25
56, 44.582, 27
58, 44.95, 22
58, 45.093, 21
57, 45.434, 24
59, 45.892, 27
58, 46.426, 26
58, 46.445, 26
59, 46.852, 27
59, 47.471, 26
59, 47.764, 23
58, 48.129, 26
58, 48.612, 29
59, 49.296, 22
61, 49.882, 30
61, 50.042, 30
58, 50.507, 29
60, 50.908, 30
61, 51.041, 33
61, 51.12, 27
61, 51.386, 27
62, 51.29, 23
61, 51.514, 28
60, 51.523, 28
60, 52.04, 28
60, 52.051, 23
62, 52.273, 31
62, 52.392, 32
63, 52.398, 30
62, 52.486, 30
62, 52.633, 30
62, 52.696, 32
61, 52.993, 28
62, 52.604, 24
62, 53.307, 36
62, 53.023, 28
64, 53.323, 29
62, 53.261, 31
62, 53.365, 28
63, 53.401, 32
64, 53.265, 24
62, 53.294, 29
64, 53.786, 30
64, 53.748, 29
64, 53.906, 27
64, 54.154, 32
64, 54.169, 24
64, 54.332, 31
64, 54.728, 35
64, 54.546, 33
64, 54.474, 29
64, 54.648, 33
64, 54.828, 24
64, 54.748, 24
64, 54.945, 34
64, 54.751, 24
64, 54.755, 30
64, 55.099, 32
64, 55.478, 32
64, 55.661, 31
64, 55.545, 30
64, 55.542, 31
64, 55.391, 32
64, 55.595, 34
64, 55.87, 33
64, 56.007, 28
64, 55.979, 32
64, 55.591, 34
64, 55.736, 31
64, 55.982, 32
64, 55.889, 28
64, 55.439, 27
64, 55.826, 33
64, 56.165, 24
64, 56.573, 34
64, 56.399, 32
64, 56.348, 30
64, 56.56, 23
64, 56.989, 36
64, 56.701, 30
64, 56.706, 31
64, 57.109, 29
64, 56.816, 27
