Best Fitness, Average Fitness, Worst Fitness
17, 12.33, 0
18, 13.6, 7
18, 14.4, 10
18, 14.87, 7
20, 15.61, 8
19, 15.87, 6
19, 16.23, 10
19, 16.47, 11
19, 16.52, 12
19, 16.45, 9
19, 16.58, 12
20, 16.64, 8
20, 16.59, 10
20, 16.8, 10
19, 16.98, 13
21, 17.06, 11
21, 17.18, 11
21, 17.73, 14
21, 17.77, 14
21, 17.82, 13
21, 18.12, 14
21, 18.5, 15
21, 18.11, 14
21, 18.36, 15
21, 18.24, 14
21, 18.24, 11
21, 18.48, 11
21, 18.56, 12
21, 18.74, 13
21, 18.79, 14
22, 18.78, 12
22, 18.86, 13
22, 19.39, 15
22, 19.36, 15
22, 19.54, 13
22, 19.36, 13
21, 19.15, 14
21, 19.08, 14
21, 19.2, 14
22, 19.0, 14
21, 19.24, 15
22, 19.31, 14
22, 19.65, 15
22, 19.58, 15
22, 19.64, 15
21, 19.49, 16
21, 19.16, 10
22, 19.22, 13
22, 19.52, 15
22, 19.61, 14
23, 19.77, 14
23, 19.73, 15
23, 20.04, 15
23, 20.16, 16
23, 20.35, 14
23, 20.23, 15
23, 20.27, 14
23, 20.15, 16
23, 20.26, 16
23, 20.28, 15
23, 20.14, 15
23, 20.54, 16
22, 20.59, 15
22, 20.16, 14
22, 20.56, 16
23, 20.59, 15
22, 20.45, 15
23, 20.69, 16
23, 20.68, 15
23, 20.51, 14
23, 20.58, 14
23, 20.61, 17
23, 20.44, 13
23, 20.2, 13
22, 20.21, 14
23, 20.07, 15
23, 20.29, 15
23, 20.48, 14
23, 20.63, 17
23, 20.52, 17
23, 20.15, 16
23, 19.98, 14
23, 19.89, 15
23, 20.21, 15
23, 20.19, 14
23, 20.19, 14
23, 20.08, 14
23, 20.15, 14
23, 20.29, 14
23, 19.84, 10
23, 20.12, 15
23, 20.07, 14
23, 20.15, 16
23, 20.1, 12
23, 19.89, 16
23, 20.05, 15
23, 20.17, 16
23, 20.4, 16
23, 20.22, 15
23, 20.14, 15
23, 19.95, 13
23, 20.33, 15
23, 20.41, 15
23, 20.41, 15
23, 20.19, 13
23, 20.09, 13
23, 20.03, 14
23, 20.57, 15
23, 20.4, 15
23, 20.19, 14
23, 20.06, 15
23, 20.07, 14
23, 20.09, 13
23, 20.26, 14
23, 20.58, 16
23, 20.57, 14
23, 20.44, 16
23, 20.6, 16
23, 21.06, 15
23, 20.49, 15
23, 20.69, 15
23, 20.6, 14
23, 20.62, 15
23, 20.4, 15
23, 20.29, 16
23, 20.16, 15
23, 20.68, 15
23, 20.37, 15
23, 20.34, 15
23, 20.04, 16
23, 20.24, 16
23, 20.79, 15
23, 20.91, 14
23, 20.48, 14
24, 20.31, 13
23, 20.21, 16
23, 20.34, 13
23, 20.33, 15
23, 20.49, 14
23, 20.47, 15
23, 20.84, 16
23, 20.44, 14
23, 20.48, 15
23, 20.28, 14
23, 20.07, 15
23, 20.53, 14
23, 20.54, 15
23, 20.37, 14
23, 20.61, 16
23, 20.3, 14
23, 20.72, 16
23, 20.42, 14
24, 20.75, 14
24, 21.0, 14
