Best Fitness, Average Fitness, Worst Fitness
354.0, 161.955, 52.0
309.0, 167.325, 61.0
349.0, 159.81, 45.0
350.0, 166.935, 49.0
354.0, 168.295, 56.0
383.0, 161.205, 50.0
338.0, 170.335, 48.0
384.0, 167.25, 44.0
294.0, 156.19, 53.0
375.0, 154.54, 45.0
310.0, 151.855, 56.0
272.0, 154.27, 53.0
328.0, 159.475, 54.0
355.0, 173.09, 45.0
426.0, 174.515, 40.0
420.0, 159.155, 30.0
327.0, 159.255, 52.0
286.0, 155.83, 44.0
378.0, 157.205, 34.0
343.0, 169.155, 29.0
317.0, 148.115, 30.0
367.0, 149.835, 27.0
295.0, 157.12, 39.0
343.0, 147.675, 39.0
336.0, 151.14, 25.0
435.0, 158.02, 43.0
388.0, 156.095, 36.0
405.0, 147.4, 35.0
298.0, 158.005, 32.0
358.0, 148.685, 40.0
358.0, 146.59, 35.0
278.0, 141.81, 45.0
256.0, 132.34, 20.0
251.0, 132.825, 44.0
290.0, 128.235, 19.0
294.0, 130.725, 33.0
285.0, 132.75, 18.0
279.0, 140.865, 32.0
362.0, 141.36, 38.0
482.0, 142.755, 25.0
308.0, 134.895, 43.0
360.0, 140.96, 51.0
292.0, 133.875, 55.0
290.0, 126.19, 37.0
274.0, 126.425, 37.0
303.0, 136.26, 28.0
258.0, 130.505, 38.0
274.0, 138.5, 22.0
321.0, 145.2, 44.0
262.0, 138.85, 37.0
312.0, 143.71, 28.0
326.0, 139.53, 34.0
358.0, 141.42, 48.0
362.0, 136.55, 45.0
344.0, 138.75, 41.0
329.0, 135.345, 40.0
336.0, 139.2, 32.0
363.0, 147.895, 22.0
360.0, 157.025, 34.0
359.0, 154.89, 43.0
332.0, 146.73, 55.0
302.0, 140.67, 47.0
425.0, 139.72, 54.0
304.0, 152.02, 50.0
360.0, 158.19, 47.0
284.0, 159.69, 40.0
334.0, 155.54, 60.0
325.0, 160.56, 39.0
407.0, 161.42, 35.0
351.0, 159.23, 65.0
388.0, 166.475, 51.0
364.0, 164.925, 42.0
439.0, 147.335, 26.0
294.0, 139.86, 36.0
300.0, 145.345, 33.0
357.0, 139.865, 37.0
346.0, 158.21, 39.0
346.0, 155.125, 59.0
306.0, 163.415, 33.0
401.0, 155.22, 33.0
337.0, 160.465, 49.0
401.0, 164.16, 37.0
359.0, 162.62, 42.0
394.0, 160.805, 26.0
348.0, 160.205, 55.0
337.0, 153.225, 42.0
343.0, 152.21, 25.0
355.0, 160.525, 46.0
310.0, 163.04, 41.0
278.0, 163.17, 45.0
306.0, 160.145, 53.0
354.0, 153.665, 45.0
314.0, 145.4, 37.0
308.0, 153.885, 41.0
316.0, 144.535, 40.0
314.0, 152.99, 31.0
305.0, 160.16, 42.0
324.0, 159.6, 46.0
368.0, 160.705, 45.0
308.0, 156.695, 55.0
270.0, 152.57, 28.0
274.0, 144.07, 44.0
305.0, 148.78, 44.0
288.0, 141.545, 46.0
272.0, 132.26, 50.0
326.0, 136.795, 37.0
287.0, 129.87, 39.0
274.0, 139.92, 47.0
348.0, 132.465, 34.0
300.0, 134.07, 32.0
328.0, 138.705, 26.0
336.0, 139.995, 52.0
387.0, 156.155, 30.0
335.0, 158.885, 23.0
370.0, 152.35, 48.0
302.0, 145.82, 43.0
336.0, 139.495, 47.0
325.0, 142.01, 33.0
345.0, 144.805, 32.0
329.0, 139.405, 38.0
343.0, 144.205, 34.0
391.0, 148.1, 36.0
367.0, 153.975, 27.0
371.0, 151.595, 32.0
300.0, 151.15, 31.0
324.0, 150.995, 51.0
318.0, 144.06, 24.0
267.0, 141.9, 56.0
