Best Fitness, Average Fitness, Worst Fitness
37, 18.984, 0
40, 22.47, 8
44, 24.742, 9
41, 26.66, 12
44, 28.474, 10
45, 30.16, 13
45, 31.906, 11
47, 33.612, 14
46, 35.342, 12
50, 36.71, 14
52, 37.818, 16
52, 38.568, 22
53, 39.01, 10
53, 39.938, 19
53, 40.186, 17
54, 41.012, 19
52, 42.014, 18
52, 42.404, 27
52, 42.444, 21
55, 43.076, 23
56, 43.352, 20
56, 44.09, 23
56, 45.072, 17
59, 44.836, 18
59, 45.056, 24
59, 45.658, 24
58, 46.256, 23
57, 46.102, 24
57, 46.608, 26
58, 46.63, 27
58, 47.12, 27
58, 47.512, 22
58, 47.69, 25
57, 47.848, 25
59, 48.364, 25
59, 48.42, 25
60, 48.182, 29
59, 48.774, 27
60, 49.174, 30
60, 49.208, 26
61, 48.838, 27
61, 49.78, 29
63, 50.122, 23
63, 50.454, 23
63, 50.502, 28
63, 51.958, 26
63, 51.71, 30
63, 52.438, 27
63, 52.808, 31
63, 53.282, 27
63, 53.19, 24
63, 53.304, 28
63, 53.906, 28
64, 53.954, 28
64, 53.81, 27
63, 53.532, 31
64, 53.67, 28
64, 54.05, 31
64, 54.224, 30
64, 54.304, 28
64, 54.596, 28
64, 54.676, 24
64, 55.204, 31
64, 55.388, 24
64, 56.484, 28
64, 56.448, 30
64, 56.508, 33
64, 56.792, 32
64, 56.75, 31
64, 57.14, 24
64, 57.454, 31
64, 57.16, 30
64, 57.382, 32
64, 57.04, 28
64, 57.546, 28
64, 57.39, 20
64, 57.518, 31
64, 58.194, 32
64, 57.582, 24
64, 57.83, 22
64, 58.188, 32
64, 57.59, 28
64, 57.876, 30
64, 58.27, 32
64, 58.454, 28
64, 57.896, 32
64, 57.628, 28
64, 58.322, 24
64, 58.242, 32
64, 57.72, 30
64, 57.66, 26
64, 57.622, 32
64, 57.832, 28
64, 58.286, 24
64, 57.784, 29
64, 57.632, 30
64, 58.252, 24
64, 57.988, 30
64, 58.456, 22
64, 58.478, 29
64, 57.828, 28
64, 58.244, 32
64, 58.042, 29
64, 57.122, 32
64, 57.768, 31
64, 57.262, 32
64, 57.02, 28
64, 57.314, 27
64, 56.98, 23
64, 57.714, 28
64, 57.992, 32
64, 58.32, 30
64, 57.85, 29
64, 57.87, 29
64, 58.154, 22
64, 58.224, 32
64, 58.086, 30
64, 57.918, 32
64, 58.13, 25
64, 57.762, 32
64, 57.994, 30
64, 58.158, 31
64, 57.856, 30
64, 57.672, 29
64, 57.532, 31
64, 57.702, 27
64, 58.182, 28
64, 57.478, 31
64, 58.082, 24
64, 58.228, 28
64, 58.448, 24
64, 58.66, 28
64, 58.298, 29
64, 57.976, 22
64, 57.712, 28
64, 58.312, 28
64, 58.674, 30
64, 58.256, 25
64, 58.262, 31
64, 58.278, 32
64, 58.592, 26
64, 58.756, 30
64, 58.53, 25
64, 58.624, 30
64, 58.488, 32
64, 58.534, 31
64, 58.646, 32
64, 58.91, 28
64, 58.616, 32
64, 58.382, 24
64, 58.238, 32
64, 58.14, 26
64, 58.014, 31
64, 58.492, 32
64, 59.092, 26
64, 58.604, 32
64, 58.726, 30
64, 58.296, 32
64, 58.282, 34
64, 58.398, 32
64, 58.17, 32
64, 58.17, 30
64, 58.188, 28
64, 59.276, 32
64, 58.756, 30
64, 58.84, 32
64, 58.978, 25
64, 58.042, 28
64, 57.556, 30
64, 58.016, 30
64, 58.012, 28
64, 57.816, 32
64, 57.76, 28
64, 57.578, 24
64, 57.596, 26
64, 56.79, 31
64, 57.058, 30
64, 56.712, 30
64, 56.972, 31
64, 56.936, 19
64, 57.326, 24
64, 56.886, 28
64, 57.608, 29
64, 57.426, 26
64, 57.522, 26
64, 57.56, 32
64, 57.554, 28
64, 57.736, 31
64, 57.53, 32
64, 57.67, 28
64, 57.852, 28
64, 58.002, 31
64, 57.526, 28
64, 58.112, 26
64, 58.016, 28
64, 58.036, 33
64, 58.38, 29
64, 58.364, 32
64, 58.54, 31
64, 57.904, 26
64, 58.088, 28
64, 58.56, 36
64, 58.244, 31
64, 58.656, 24
64, 58.692, 31
64, 57.938, 31
64, 58.056, 32
64, 57.566, 30
64, 58.158, 25
64, 58.244, 27
64, 58.41, 32
64, 58.468, 33
64, 58.048, 32
64, 57.89, 31
64, 57.934, 31
64, 57.826, 32
64, 58.712, 30
64, 58.4, 32
64, 58.094, 22
64, 58.084, 30
64, 58.54, 31
64, 58.566, 31
64, 57.938, 31
64, 57.606, 27
64, 57.682, 28
64, 57.984, 33
64, 58.388, 29
64, 58.066, 28
64, 58.726, 29
64, 58.108, 26
64, 57.972, 31
64, 57.708, 30
64, 58.12, 30
64, 57.812, 27
64, 58.156, 30
64, 57.682, 25
64, 58.042, 23
64, 57.82, 30
64, 58.146, 32
64, 58.076, 25
64, 57.572, 25
64, 57.382, 30
64, 57.566, 25
64, 57.624, 29
64, 58.01, 27
64, 58.212, 26
64, 57.992, 26
64, 58.414, 30
64, 58.424, 27
64, 58.326, 29
64, 58.342, 26
64, 58.276, 31
64, 58.238, 32
64, 58.462, 32
64, 58.296, 26
64, 58.624, 32
64, 58.518, 33
64, 58.22, 30
64, 58.462, 26
64, 58.148, 33
64, 58.64, 29
64, 57.91, 33
64, 58.306, 31
64, 57.708, 28
64, 57.866, 32
64, 57.966, 28
64, 57.914, 32
64, 57.814, 31
64, 57.946, 30
64, 57.902, 30
64, 57.784, 26
64, 58.142, 32
64, 57.57, 28
64, 57.9, 27
64, 57.902, 27
64, 57.972, 32
64, 58.124, 22
64, 57.988, 31
64, 58.076, 32
64, 57.758, 32
64, 57.806, 32
64, 57.846, 34
64, 57.042, 27
64, 57.764, 32
64, 57.994, 28
64, 58.66, 32
64, 58.368, 31
64, 58.688, 32
64, 58.482, 30
64, 58.214, 31
64, 58.512, 33
64, 58.502, 25
64, 58.782, 32
64, 57.924, 30
64, 57.706, 27
64, 57.622, 24
64, 57.912, 29
64, 58.046, 32
64, 57.988, 32
64, 57.596, 25
64, 57.926, 27
64, 57.946, 29
64, 57.796, 28
64, 57.382, 25
64, 58.022, 27
64, 58.08, 33
64, 57.936, 24
64, 58.34, 28
64, 57.658, 26
64, 57.698, 24
64, 57.452, 24
64, 58.144, 29
64, 58.384, 28
64, 58.476, 32
64, 58.594, 29
64, 58.836, 22
64, 58.88, 25
64, 58.618, 33
64, 59.156, 28
64, 59.058, 33
64, 58.814, 32
64, 58.534, 26
64, 58.276, 32
64, 58.452, 30
64, 57.956, 27
64, 58.112, 28
64, 57.99, 31
64, 58.72, 32
64, 58.344, 33
64, 58.606, 27
64, 58.264, 33
64, 58.418, 32
64, 58.598, 25
64, 58.604, 26
64, 58.212, 31
64, 58.228, 31
64, 57.934, 32
64, 58.418, 29
64, 58.374, 24
64, 58.358, 24
64, 58.044, 28
64, 57.746, 30
64, 57.708, 25
64, 58.484, 26
64, 57.878, 29
64, 57.898, 32
64, 58.272, 31
64, 58.402, 20
64, 58.53, 31
64, 57.794, 33
64, 57.988, 32
64, 57.476, 29
64, 57.318, 32
64, 57.606, 30
64, 57.608, 30
64, 57.792, 30
64, 57.292, 31
64, 57.664, 29
64, 58.144, 32
64, 58.146, 28
64, 58.464, 32
64, 58.174, 35
64, 58.068, 26
64, 57.678, 24
64, 58.658, 31
64, 58.082, 21
64, 57.796, 32
64, 57.592, 31
64, 57.428, 29
64, 57.592, 27
64, 58.27, 29
64, 57.706, 28
64, 56.762, 24
64, 56.996, 31
64, 57.226, 31
64, 58.222, 34
64, 58.196, 30
64, 58.178, 24
64, 58.098, 29
64, 58.442, 33
64, 59.02, 27
64, 58.84, 29
64, 58.816, 31
64, 58.506, 33
64, 58.134, 26
64, 58.24, 32
64, 57.764, 24
64, 57.894, 27
64, 57.854, 28
64, 58.2, 32
64, 58.428, 24
64, 58.28, 32
64, 57.628, 31
64, 57.888, 28
64, 57.912, 26
64, 58.858, 28
64, 58.424, 34
64, 58.326, 31
64, 58.056, 32
64, 58.024, 30
64, 58.552, 32
64, 58.356, 32
64, 58.912, 26
64, 58.372, 29
64, 58.18, 28
64, 58.564, 32
64, 57.592, 32
64, 58.332, 30
64, 58.064, 28
64, 57.874, 32
64, 57.342, 30
64, 57.87, 30
64, 57.472, 28
64, 57.468, 31
64, 57.414, 24
64, 57.278, 29
64, 57.232, 29
64, 57.2, 27
64, 57.804, 29
64, 58.016, 32
64, 58.25, 31
64, 58.744, 29
64, 58.114, 25
64, 57.786, 35
64, 57.596, 34
64, 57.398, 23
64, 57.288, 31
64, 57.402, 31
64, 58.33, 34
64, 58.716, 30
64, 57.954, 31
64, 58.88, 28
64, 58.32, 28
64, 58.17, 33
64, 58.214, 26
64, 58.14, 30
64, 58.744, 26
64, 58.2, 32
64, 58.174, 32
64, 58.02, 30
64, 57.968, 28
64, 57.648, 32
64, 57.716, 21
64, 57.78, 32
64, 57.814, 32
64, 57.278, 28
64, 57.384, 29
64, 57.996, 33
64, 57.936, 31
64, 58.546, 33
64, 58.158, 28
64, 57.868, 20
64, 58.172, 21
64, 57.914, 32
64, 57.404, 31
64, 57.674, 30
64, 58.02, 33
64, 58.148, 32
64, 58.248, 32
64, 58.084, 28
64, 58.056, 24
64, 57.866, 27
64, 58.226, 29
64, 58.324, 30
64, 58.118, 25
64, 58.526, 31
64, 58.206, 32
64, 57.93, 30
64, 58.124, 30
64, 58.194, 25
64, 57.878, 31
64, 57.734, 30
64, 57.612, 27
64, 57.842, 31
64, 57.916, 31
64, 57.714, 31
64, 57.536, 32
64, 57.338, 28
64, 57.812, 32
64, 57.988, 29
64, 58.252, 29
64, 58.15, 31
64, 58.26, 31
64, 57.708, 22
64, 57.738, 31
64, 57.858, 28
64, 57.77, 30
64, 57.258, 20
64, 57.856, 28
64, 58.412, 32
64, 57.88, 33
64, 58.128, 28
64, 58.14, 30
64, 58.218, 33
64, 57.46, 32
64, 57.758, 30
64, 57.756, 33
64, 57.208, 26
64, 57.572, 28
64, 57.962, 28
64, 58.014, 28
64, 58.278, 30
64, 57.87, 32
64, 58.186, 32
64, 57.994, 32
64, 58.132, 33
64, 58.546, 32
64, 57.968, 30
64, 57.73, 29
64, 57.776, 25
64, 58.33, 32
64, 58.204, 29
64, 58.328, 29
64, 57.91, 32
64, 57.892, 33
64, 57.552, 30
64, 57.54, 32
64, 57.624, 27
64, 57.398, 20
64, 57.062, 25
64, 57.59, 32
64, 56.982, 28
64, 57.7, 32
64, 57.074, 25
64, 57.508, 27
64, 57.86, 28
64, 57.856, 32
64, 57.542, 30
64, 57.956, 30
64, 57.626, 30
64, 57.758, 32
64, 58.084, 32
64, 58.218, 29
64, 58.012, 31
64, 57.68, 27
64, 57.602, 34
64, 57.926, 32
64, 57.752, 34
64, 58.154, 33
64, 58.18, 27
64, 58.222, 32
64, 57.994, 32
64, 58.056, 32
64, 58.008, 33
64, 58.0, 29
64, 57.746, 28
64, 58.444, 34
64, 57.784, 24
64, 57.636, 28
64, 58.26, 26
64, 57.308, 30
64, 57.322, 25
64, 57.686, 28
64, 57.954, 32
64, 57.302, 29
64, 57.754, 34
64, 57.514, 32
64, 57.518, 33
64, 58.018, 29
64, 57.562, 25
64, 57.526, 32
64, 57.788, 31
64, 57.682, 30
64, 57.888, 28
64, 57.56, 28
64, 57.862, 29
64, 57.666, 32
64, 58.772, 34
64, 58.738, 28
64, 58.518, 32
64, 58.138, 24
64, 58.204, 29
64, 58.468, 30
64, 58.74, 32
64, 58.158, 24
64, 58.456, 33
64, 58.64, 32
64, 58.652, 17
64, 58.62, 30
64, 58.584, 32
64, 58.534, 32
64, 58.546, 30
64, 58.554, 32
64, 58.642, 28
64, 58.636, 32
64, 58.234, 25
64, 58.16, 28
64, 58.506, 30
64, 58.544, 31
64, 58.528, 29
64, 58.664, 32
64, 58.064, 26
64, 58.606, 28
64, 58.25, 28
64, 58.33, 32
64, 58.238, 26
64, 58.41, 31
64, 58.368, 25
64, 58.09, 25
64, 58.144, 31
64, 57.838, 27
64, 57.76, 32
64, 57.926, 31
64, 57.558, 33
64, 57.826, 30
64, 57.894, 32
64, 57.75, 30
64, 57.838, 27
64, 57.36, 26
64, 58.328, 28
64, 58.162, 28
64, 58.396, 26
64, 58.714, 31
64, 58.45, 28
64, 57.678, 33
64, 57.832, 30
64, 57.718, 34
64, 57.792, 31
64, 57.428, 33
64, 57.366, 26
64, 57.176, 26
64, 57.094, 28
64, 57.682, 30
64, 57.55, 23
64, 57.958, 33
64, 57.914, 28
64, 58.076, 31
64, 58.746, 32
64, 58.248, 35
64, 58.34, 31
64, 58.732, 30
64, 58.418, 29
64, 58.162, 30
64, 57.818, 32
64, 57.766, 30
64, 57.876, 31
64, 57.956, 30
64, 57.194, 20
64, 57.472, 29
64, 57.968, 28
64, 58.226, 29
64, 57.61, 33
64, 57.386, 26
64, 57.584, 32
64, 57.92, 30
64, 58.158, 27
64, 58.26, 32
64, 58.318, 29
64, 58.246, 32
64, 58.604, 30
64, 58.448, 29
64, 58.13, 32
64, 57.87, 28
64, 58.172, 32
64, 58.13, 26
64, 58.144, 33
64, 58.19, 33
64, 58.612, 32
64, 57.9, 28
64, 58.434, 36
64, 57.79, 33
64, 57.016, 31
64, 57.438, 32
64, 57.25, 27
64, 57.574, 32
64, 57.842, 30
64, 58.14, 28
64, 58.202, 30
64, 58.236, 25
64, 58.116, 33
64, 57.73, 25
64, 57.868, 29
64, 57.554, 32
64, 57.68, 32
64, 57.418, 32
64, 57.352, 33
64, 57.426, 28
64, 57.304, 27
64, 57.326, 33
64, 57.47, 32
64, 57.436, 24
64, 57.284, 23
64, 57.326, 30
64, 57.464, 22
64, 57.488, 29
64, 58.312, 32
64, 57.75, 31
64, 57.588, 26
64, 57.852, 29
64, 58.116, 25
64, 58.152, 32
64, 58.568, 24
64, 58.324, 30
64, 58.496, 28
64, 58.524, 32
64, 58.71, 34
64, 58.6, 25
64, 58.526, 32
64, 58.366, 28
64, 58.314, 25
64, 58.174, 32
64, 57.776, 30
64, 57.196, 31
64, 57.662, 28
64, 58.106, 24
64, 57.382, 27
64, 58.052, 29
64, 58.132, 29
64, 58.264, 28
64, 57.75, 29
64, 57.742, 32
64, 58.03, 22
64, 58.018, 33
64, 57.824, 24
64, 57.826, 27
64, 57.386, 27
64, 57.524, 29
64, 57.472, 27
